instancia,intensidade,respeita_lb,repeticao,duracao,fo
instance_0004b,0.4,False,5,60.23,4.450617283950617
instance_0004b,0.9,False,5,60.27,4.374233128834356
instance_0004b,1.0,False,10,60.41,4.3580246913580245
instance_0004b,0.2,True,5,60.37,5.670967741935484
instance_0004b,0.3,True,10,60.28,5.3624161073825505
instance_0004b,0.7,True,5,60.35,5.601307189542483
instance_0004b,0.5,False,10,60.32,4.306748466257669
instance_0004b,0.8,True,10,60.26,5.5
instance_0005a,0.2,True,6,60.21,9.4
instance_0005a,0.1,True,1,60.27,9.472049689440993
instance_0005a,0.7,True,6,60.28,8.72549019607843
instance_0005a,0.3,False,1,60.42,8.217391304347826
instance_0005a,0.6,True,1,60.41,8.7012987012987
instance_0005a,0.4,False,6,60.45,8.211180124223603
instance_0005a,0.8,False,1,60.40,8.236024844720497
instance_0005a,0.9,False,6,60.20,8.279503105590063
instance_0005a,0.1,True,2,60.36,9.360248447204969
instance_0005a,0.2,True,7,60.45,9.33974358974359
instance_0005a,0.3,False,2,60.50,8.571428571428571
instance_0005a,0.7,True,7,60.67,8.832298136645962
instance_0005a,0.4,False,7,60.57,8.24223602484472
instance_0005a,0.6,True,2,60.61,8.848101265822784
instance_0005a,0.8,False,2,60.39,8.285714285714286
instance_0005a,0.9,False,7,60.56,8.26086956521739
instance_0005a,0.1,True,3,60.38,9.385093167701863
instance_0005a,0.2,True,8,60.31,8.925
instance_0005a,0.3,False,3,60.34,8.314465408805031
instance_0005a,0.7,True,8,60.33,9.372670807453416
instance_0005a,0.4,False,8,60.47,8.211180124223603
instance_0005a,0.6,True,3,60.48,9.608695652173912
instance_0005a,0.8,False,3,60.53,8.22360248447205
instance_0005a,0.9,False,8,60.42,8.211180124223603
instance_0005a,0.2,True,9,60.22,9.124183006535947
instance_0005a,0.1,True,4,60.26,9.532894736842104
instance_0005a,0.3,False,4,60.54,8.211180124223603
instance_0005a,0.7,True,9,60.54,9.64375
instance_0005a,0.4,False,9,60.57,8.31055900621118
instance_0005a,0.6,True,4,60.62,9.472049689440993
instance_0005a,0.8,False,4,60.56,8.229813664596273
instance_0005a,0.9,False,9,60.34,8.298136645962733
instance_0005a,0.1,True,5,60.21,9.61437908496732
instance_0005a,0.2,True,10,60.26,9.403726708074535
instance_0005a,0.3,False,5,60.21,8.217391304347826
instance_0005a,0.7,True,10,60.20,9.402597402597403
instance_0005a,0.4,False,10,60.30,8.2625
instance_0005a,0.6,True,5,60.26,9.335403726708075
instance_0005a,0.8,False,5,60.26,8.217391304347826
instance_0005a,0.9,False,10,60.25,8.211180124223603
instance_0005a,0.1,True,6,60.21,9.440993788819876
instance_0005a,0.2,False,1,60.20,8.320754716981131
instance_0005a,0.3,False,6,60.21,8.29192546583851
instance_0005a,0.7,False,1,60.20,8.211180124223603
instance_0005a,0.5,True,1,60.24,9.391304347826088
instance_0005a,0.6,True,6,60.24,9.46583850931677
instance_0005a,0.8,False,6,60.20,8.316770186335404
instance_0005a,1.0,True,1,60.23,9.354037267080745
instance_0005a,0.2,False,2,60.39,8.29375
instance_0005a,0.1,True,7,60.46,9.329113924050633
instance_0005a,0.3,False,7,60.25,8.279503105590063
instance_0005a,0.7,False,2,60.25,8.391304347826088
instance_0005a,0.6,True,7,60.24,9.012422360248447
instance_0005a,0.5,True,2,60.27,9.402597402597403
instance_0005a,0.8,False,7,60.26,8.254658385093167
instance_0005a,1.0,True,2,60.26,9.396103896103897
instance_0005a,0.2,False,3,60.24,8.325
instance_0005a,0.1,True,8,60.24,9.217391304347826
instance_0005a,0.3,False,8,60.26,8.29375
instance_0005a,0.7,False,3,60.28,8.236024844720497
instance_0005a,0.6,True,8,60.26,9.48125
instance_0005a,0.5,True,3,60.31,8.758169934640524
instance_0005a,0.8,False,8,60.33,8.24223602484472
instance_0005a,1.0,True,3,60.34,9.417721518987342
instance_0005a,0.1,True,9,60.44,9.5
instance_0005a,0.2,False,4,60.48,8.275
instance_0005a,0.3,False,9,60.46,8.329192546583851
instance_0005a,0.7,False,4,60.50,8.22360248447205
instance_0005a,0.6,True,9,60.30,8.89937106918239
instance_0005a,0.5,True,4,60.60,9.4125
instance_0005a,0.8,False,9,60.50,8.229813664596273
instance_0005a,1.0,True,4,60.26,8.847133757961783
instance_0005a,0.1,True,10,60.23,9.425
instance_0005a,0.2,False,5,60.26,8.229813664596273
instance_0005a,0.3,False,10,60.28,8.254658385093167
instance_0005a,0.7,False,5,60.47,8.26086956521739
instance_0005a,0.6,True,10,60.44,8.884615384615385
instance_0005a,0.5,True,5,60.41,8.7625
instance_0005a,0.8,False,10,60.25,8.339622641509434
instance_0005a,1.0,True,5,60.24,8.616883116883116
instance_0005a,0.1,False,1,60.23,8.217391304347826
instance_0005a,0.2,False,6,60.22,8.30625
instance_0005a,0.4,True,1,60.44,9.5
instance_0005a,0.7,False,6,60.37,8.248447204968944
instance_0005a,0.6,False,1,60.36,8.26875
instance_0005a,0.5,True,6,60.35,9.551948051948052
instance_0005a,0.9,True,1,60.26,8.695652173913043
instance_0005a,1.0,True,6,60.27,9.490683229813664
instance_0005a,0.2,False,7,60.24,8.229813664596273
instance_0005a,0.1,False,2,60.31,8.26875
instance_0005a,0.4,True,2,60.45,9.448051948051948
instance_0005a,0.7,False,7,60.29,8.3625
instance_0005a,0.6,False,2,60.39,8.229813664596273
instance_0005a,0.5,True,7,60.33,9.222929936305732
instance_0005a,0.9,True,2,60.29,8.583850931677018
instance_0005a,1.0,True,7,60.21,8.811688311688311
instance_0005a,0.2,False,8,60.28,8.22360248447205
instance_0005a,0.1,False,3,60.30,8.217391304347826
instance_0005a,0.6,False,3,60.57,8.2875
instance_0005a,0.4,True,3,60.91,9.4375
instance_0005a,0.7,False,8,60.76,8.211180124223603
instance_0005a,0.5,True,8,60.41,9.621118012422361
instance_0005a,0.9,True,3,60.35,8.91875
instance_0005a,1.0,True,8,60.44,8.75625
instance_0005a,0.1,False,4,60.49,8.254658385093167
instance_0005a,0.2,False,9,60.61,8.229813664596273
instance_0005a,0.6,False,4,60.47,8.229813664596273
instance_0005a,0.4,True,4,60.48,8.885350318471337
instance_0005a,0.5,True,9,60.49,8.770186335403727
instance_0005a,0.7,False,9,60.61,8.22360248447205
instance_0005a,0.9,True,4,60.72,8.792207792207792
instance_0005a,1.0,True,9,60.77,9.452830188679245
instance_0005a,0.2,False,10,60.30,8.35625
instance_0005a,0.1,False,5,60.43,8.236024844720497
instance_0005a,0.6,False,5,60.36,8.211180124223603
instance_0005a,0.4,True,5,60.49,9.4375
instance_0005a,0.5,True,10,60.73,9.322981366459627
instance_0005a,0.7,False,10,60.77,8.211180124223603
instance_0005a,0.9,True,5,60.65,9.18867924528302
instance_0005a,1.0,True,10,60.43,8.745341614906833
instance_0005a,0.3,True,1,60.52,8.897435897435898
instance_0005a,0.1,False,6,60.50,8.35
instance_0005a,0.4,True,6,60.77,9.397515527950311
instance_0005a,0.6,False,6,61.05,8.211180124223603
instance_0005a,0.8,True,1,60.54,9.5125
instance_0005a,0.5,False,1,60.68,8.38125
instance_0005a,0.9,True,6,60.49,9.459627329192546
instance_0005a,1.0,False,1,60.86,8.217391304347826
instance_0005a,0.1,False,7,60.22,8.275
instance_0005a,0.3,True,2,60.37,8.764705882352942
instance_0005a,0.4,True,7,60.30,9.587096774193549
instance_0005a,0.6,False,7,60.52,8.26875
instance_0005a,0.5,False,2,60.54,8.3
instance_0005a,0.9,True,7,60.45,9.542483660130719
instance_0005a,0.8,True,2,60.71,9.49673202614379
instance_0005a,1.0,False,2,60.55,8.254658385093167
instance_0005a,0.1,False,8,60.52,8.211180124223603
instance_0005a,0.3,True,3,60.45,9.378881987577639
instance_0005a,0.4,True,8,60.28,9.428571428571429
instance_0005a,0.6,False,8,60.23,8.217391304347826
instance_0005a,0.5,False,3,60.54,8.248447204968944
instance_0005a,0.9,True,8,60.52,9.522012578616351
instance_0005a,0.8,True,3,60.48,9.565217391304348
instance_0005a,1.0,False,3,60.22,8.314465408805031
instance_0005a,0.1,False,9,60.30,8.229813664596273
instance_0005a,0.3,True,4,60.31,9.22875816993464
instance_0005a,0.4,True,9,60.33,9.374193548387098
instance_0005a,0.6,False,9,60.75,8.211180124223603
instance_0005a,0.9,True,9,60.38,9.51552795031056
instance_0005a,0.5,False,4,60.41,8.275
instance_0005a,0.8,True,4,60.48,8.967948717948717
instance_0005a,1.0,False,4,60.28,8.2625
instance_0005a,0.1,False,10,60.23,8.445859872611464
instance_0005a,0.3,True,5,60.26,8.76774193548387
instance_0005a,0.4,True,10,60.78,8.867088607594937
instance_0005a,0.6,False,10,60.34,8.320754716981131
instance_0005a,0.5,False,5,60.43,8.279503105590063
instance_0005a,0.8,True,5,60.46,8.948051948051948
instance_0005a,1.0,False,5,60.40,8.2875
instance_0005a,0.2,True,1,60.30,9.4375
instance_0005a,0.3,True,6,60.31,8.74375
instance_0005a,0.4,False,1,60.41,8.26086956521739
instance_0005a,0.7,True,1,60.39,8.925465838509316
instance_0005a,0.5,False,6,60.29,8.24223602484472
instance_0005a,0.9,False,1,60.29,8.31055900621118
instance_0005a,0.8,True,6,60.32,9.416149068322982
instance_0005a,1.0,False,6,60.48,8.298136645962733
instance_0005a,0.2,True,2,60.25,8.61038961038961
instance_0005a,0.3,True,7,60.24,9.006211180124224
instance_0005a,0.4,False,2,60.22,8.22360248447205
instance_0005a,0.5,False,7,60.28,8.273291925465838
instance_0005a,0.9,False,2,60.28,8.211180124223603
instance_0005a,0.7,True,2,60.42,9.366459627329192
instance_0005a,0.8,True,7,60.47,8.725
instance_0005a,1.0,False,7,60.44,8.2625
instance_0005a,0.2,True,3,60.34,9.070512820512821
instance_0005a,0.3,True,8,60.39,9.385093167701863
instance_0005a,0.4,False,3,60.87,8.26875
instance_0005a,0.9,False,3,60.50,8.211180124223603
instance_0005a,0.5,False,8,60.52,8.24223602484472
instance_0005a,0.7,True,3,60.74,9.031055900621118
instance_0005a,0.8,True,8,60.65,9.285714285714286
instance_0005a,1.0,False,8,60.43,8.217391304347826
instance_0005a,0.2,True,4,60.50,8.75776397515528
instance_0005a,0.3,True,9,60.50,9.196078431372548
instance_0005a,0.5,False,9,60.33,8.33125
instance_0005a,0.4,False,4,60.35,8.217391304347826
instance_0005a,0.9,False,4,60.64,8.2625
instance_0005a,0.7,True,4,60.40,9.354037267080745
instance_0005a,0.8,True,9,60.69,9.566037735849056
instance_0005a,1.0,False,9,60.22,8.229813664596273
instance_0005a,0.2,True,5,60.26,9.608695652173912
instance_0005a,0.3,True,10,60.22,8.852564102564102
instance_0005a,0.5,False,10,60.26,8.211180124223603
instance_0005a,0.4,False,5,60.26,8.211180124223603
instance_0005a,0.7,True,5,60.23,8.903846153846153
instance_0005a,0.9,False,5,60.27,8.329192546583851
instance_0005a,0.8,True,10,60.49,9.222929936305732
instance_0005a,1.0,False,10,60.22,8.416149068322982
instance_0007b,0.1,True,1,60.30,0.7913043478260869
instance_0007b,0.2,True,6,60.30,0.7520661157024794
instance_0007b,0.3,False,1,60.22,5.339743589743589
instance_0007b,0.4,False,6,60.22,5.265822784810126
instance_0007b,0.6,True,1,60.23,0.8790322580645161
instance_0007b,0.7,True,6,60.59,0.8048780487804879
instance_0007b,0.8,False,1,60.44,5.367741935483871
instance_0007b,0.9,False,6,60.23,5.32051282051282
instance_0007b,0.2,True,7,60.31,0.7479674796747967
instance_0007b,0.1,True,2,60.34,0.75
instance_0007b,0.3,False,2,60.27,5.305732484076433
instance_0007b,0.4,False,7,60.29,5.409090909090909
instance_0007b,0.6,True,2,60.18,0.773109243697479
instance_0007b,0.7,True,7,60.33,0.8793103448275862
instance_0007b,0.8,False,2,60.39,5.361290322580645
instance_0007b,0.9,False,7,60.17,5.2993630573248405
instance_0007b,0.1,True,3,60.18,0.8141592920353983
instance_0007b,0.2,True,8,60.25,0.7338709677419355
instance_0007b,0.3,False,3,60.18,5.272151898734177
instance_0007b,0.4,False,8,60.22,5.339743589743589
instance_0007b,0.6,True,3,60.47,0.8290598290598291
instance_0007b,0.7,True,8,60.26,0.7244094488188977
instance_0007b,0.8,False,3,60.32,5.272151898734177
instance_0007b,0.9,False,8,60.25,5.305732484076433
instance_0007b,0.1,True,4,60.18,0.7419354838709677
instance_0007b,0.2,True,9,60.19,0.768595041322314
instance_0007b,0.3,False,4,60.22,5.305732484076433
instance_0007b,0.4,False,9,60.26,5.2993630573248405
instance_0007b,0.6,True,4,60.22,0.8709677419354839
instance_0007b,0.7,True,9,60.21,0.768595041322314
instance_0007b,0.8,False,4,60.20,5.374193548387097
instance_0007b,0.9,False,9,60.17,5.339743589743589
instance_0007b,0.1,True,5,60.18,0.7338709677419355
instance_0007b,0.2,True,10,60.18,0.8468468468468469
instance_0007b,0.3,False,5,60.24,5.2993630573248405
instance_0007b,0.4,False,10,60.39,5.374193548387097
instance_0007b,0.6,True,5,60.35,0.8709677419354839
instance_0007b,0.7,True,10,60.19,1.0103092783505154
instance_0007b,0.8,False,5,60.29,5.305732484076433
instance_0007b,0.9,False,10,60.28,5.2993630573248405
instance_0007b,0.1,True,6,60.22,0.7441860465116279
instance_0007b,0.2,False,1,60.21,5.367741935483871
instance_0007b,0.3,False,6,60.18,5.333333333333333
instance_0007b,0.5,True,1,60.26,0.8046875
instance_0007b,0.6,True,6,60.40,0.8135593220338984
instance_0007b,0.7,False,1,60.45,5.326923076923077
instance_0007b,0.8,False,6,60.33,5.292993630573249
instance_0007b,1.0,True,1,60.45,0.8442622950819673
instance_0007b,0.1,True,7,60.21,0.7768595041322314
instance_0007b,0.2,False,2,60.22,5.339743589743589
instance_0007b,0.3,False,7,60.20,5.305732484076433
instance_0007b,0.5,True,2,60.22,0.7804878048780488
instance_0007b,0.6,True,7,60.22,0.8173913043478261
instance_0007b,0.7,False,2,60.20,5.265822784810126
instance_0007b,0.8,False,7,60.24,5.305732484076433
instance_0007b,1.0,True,2,60.27,0.9215686274509803
instance_0007b,0.1,True,8,60.23,0.75
instance_0007b,0.2,False,3,60.20,5.367741935483871
instance_0007b,0.3,False,8,60.36,5.305732484076433
instance_0007b,0.5,True,3,60.59,0.8230088495575221
instance_0007b,0.6,True,8,60.32,0.8016528925619835
instance_0007b,0.7,False,3,60.79,5.305732484076433
instance_0007b,0.8,False,8,61.00,5.333333333333333
instance_0007b,1.0,True,3,61.06,0.8636363636363636
instance_0007b,0.1,True,9,60.21,0.9107142857142857
instance_0007b,0.2,False,4,60.22,5.32051282051282
